iter	Passed	Remaining
0	1	139
1	2	124
2	3	117
3	4	107
4	5	105
5	6	103
6	7	101
7	8	102
8	9	100
9	11	99
10	12	98
11	13	100
12	14	99
13	15	97
14	16	96
15	18	94
16	19	93
17	20	91
18	21	90
19	22	88
20	23	87
21	24	86
22	25	85
23	26	84
24	27	83
25	29	82
26	30	81
27	31	80
28	32	79
29	33	78
30	34	76
31	35	75
32	36	74
33	37	73
34	38	72
35	40	71
36	41	71
37	42	70
38	44	69
39	45	67
40	46	66
41	46	64
42	47	63
43	48	62
44	50	61
45	51	60
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	59	52
53	60	51
54	60	49
55	62	48
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	31
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	21
81	90	19
82	91	18
83	92	17
84	93	16
85	94	15
86	96	14
87	97	13
88	98	12
89	99	11
90	101	10
91	102	8
92	104	7
93	105	6
94	106	5
95	107	4
96	109	3
97	110	2
98	111	1
99	112	0
