iter	Passed	Remaining
0	108	108154
1	110	54894
2	111	37078
3	112	28048
4	114	22883
5	116	19270
6	117	16704
7	119	14771
8	120	13255
9	121	12072
10	125	11244
11	126	10409
12	127	9679
13	130	9175
14	131	8660
15	133	8193
16	135	7826
17	137	7476
18	138	7166
19	140	6871
20	141	6591
21	143	6390
22	145	6175
23	147	5999
24	148	5802
25	149	5617
26	151	5445
27	152	5302
28	154	5170
29	155	5038
30	158	4967
31	160	4852
32	161	4741
33	162	4630
34	164	4528
35	165	4431
36	167	4350
37	169	4291
38	170	4212
39	173	4168
40	175	4100
41	176	4029
42	177	3958
43	179	3891
44	181	3847
45	183	3799
46	184	3745
47	188	3742
48	190	3691
49	191	3646
50	193	3594
51	196	3579
52	198	3545
53	199	3498
54	203	3502
55	205	3459
56	206	3415
57	207	3372
58	208	3332
59	210	3296
60	211	3261
61	213	3234
62	216	3217
63	217	3184
64	219	3151
65	220	3117
66	221	3085
67	222	3053
68	225	3047
69	227	3022
70	228	2992
71	231	2977
72	232	2952
73	234	2928
74	235	2904
75	237	2886
76	238	2860
77	239	2834
78	241	2811
79	243	2795
80	244	2775
81	246	2757
82	248	2741
83	249	2722
84	250	2701
85	252	2679
86	253	2662
87	255	2648
88	257	2631
89	258	2611
90	261	2612
91	263	2596
92	264	2578
93	265	2560
94	267	2545
95	269	2535
96	271	2523
97	272	2507
98	273	2489
99	275	2483
100	277	2469
101	278	2455
102	280	2440
103	281	2423
104	282	2410
105	284	2399
106	286	2387
107	287	2372
108	288	2357
109	292	2364
110	293	2350
111	294	2335
112	295	2322
113	297	2310
114	298	2298
115	299	2284
116	300	2268
117	301	2255
118	302	2242
119	304	2232
120	305	2222
121	307	2210
122	308	2198
123	309	2186
124	310	2174
125	312	2166
126	313	2156
127	315	2146
128	316	2136
129	317	2125
130	318	2113
131	320	2108
132	321	2098
133	323	2090
134	324	2081
135	326	2074
136	327	2065
137	329	2055
138	330	2044
139	331	2035
140	332	2025
141	333	2016
142	335	2011
143	336	2001
144	337	1992
145	339	1983
146	340	1975
147	341	1967
148	342	1958
149	344	1950
150	345	1941
151	346	1931
152	347	1924
153	350	1923
154	351	1918
155	353	1911
156	354	1903
157	355	1895
158	356	1886
159	357	1878
160	358	1869
161	359	1861
162	360	1853
163	362	1845
164	363	1839
165	365	1835
166	366	1828
167	367	1821
168	368	1814
169	370	1808
170	371	1800
171	372	1793
172	373	1786
173	374	1779
174	375	1772
175	377	1765
176	378	1761
177	380	1756
178	381	1750
179	382	1744
180	384	1738
181	385	1731
182	386	1724
183	387	1717
184	388	1710
185	389	1704
186	390	1698
187	391	1692
188	393	1690
189	395	1685
190	396	1679
191	397	1673
192	398	1666
193	399	1660
194	400	1654
195	401	1648
196	402	1642
197	404	1636
198	405	1630
199	406	1624
200	407	1619
201	409	1616
202	410	1611
203	411	1606
204	412	1601
205	413	1595
206	415	1590
207	416	1584
208	417	1579
209	418	1573
210	419	1568
211	420	1562
212	421	1557
213	423	1554
214	424	1550
215	425	1545
216	427	1541
217	428	1536
218	429	1532
219	430	1527
220	431	1522
221	433	1517
222	434	1512
223	435	1507
224	436	1502
225	439	1504
226	440	1500
227	441	1495
228	442	1491
229	444	1486
230	445	1482
231	446	1477
232	447	1472
233	448	1467
234	449	1463
235	450	1459
236	451	1454
237	453	1452
238	454	1448
239	456	1444
240	457	1441
241	458	1437
242	461	1436
243	462	1433
244	464	1431
245	465	1427
246	467	1425
247	469	1422
248	470	1418
249	472	1416
250	473	1413
251	474	1409
252	476	1406
253	477	1402
254	478	1398
255	479	1393
256	480	1389
257	482	1389
258	485	1387
259	486	1384
260	487	1380
261	488	1376
262	490	1374
263	492	1372
264	494	1370
265	495	1367
266	498	1368
267	500	1366
268	501	1362
269	502	1359
270	504	1356
271	505	1352
272	509	1355
273	511	1353
274	514	1356
275	515	1353
276	517	1350
277	518	1346
278	519	1343
279	523	1345
280	525	1344
281	528	1345
282	529	1342
283	531	1339
284	532	1336
285	533	1333
286	535	1330
287	538	1331
288	540	1329
289	543	1330
290	544	1327
291	546	1324
292	547	1321
293	549	1319
294	551	1316
295	553	1317
296	564	1336
297	567	1336
298	581	1363
299	583	1361
300	591	1372
301	593	1371
302	594	1367
303	595	1364
304	597	1361
305	598	1357
306	600	1356
307	602	1353
308	603	1349
309	605	1347
310	606	1344
311	613	1351
312	614	1348
313	615	1345
314	617	1341
315	620	1343
316	625	1347
317	626	1344
318	628	1340
319	629	1337
320	630	1333
321	632	1331
322	633	1327
323	640	1335
324	641	1332
325	643	1330
326	644	1327
327	646	1323
328	647	1321
329	648	1317
330	653	1320
331	657	1322
332	658	1318
333	659	1315
334	660	1311
335	662	1309
336	663	1305
337	669	1310
338	671	1309
339	672	1305
340	673	1302
341	675	1298
342	676	1295
343	678	1294
344	681	1294
345	684	1292
346	686	1291
347	687	1288
348	689	1286
349	690	1283
350	692	1281
351	694	1277
352	697	1279
353	700	1278
354	702	1276
355	703	1273
356	705	1269
357	706	1267
358	708	1264
359	709	1261
360	715	1266
361	717	1264
362	718	1261
363	720	1258
364	721	1254
365	722	1252
366	724	1248
367	725	1245
368	731	1251
369	733	1248
370	734	1245
371	735	1242
372	737	1240
373	739	1237
374	740	1234
375	746	1238
376	747	1235
377	749	1234
378	751	1231
379	752	1228
380	754	1225
381	755	1221
382	761	1226
383	762	1223
384	764	1220
385	765	1217
386	766	1214
387	768	1211
388	769	1208
389	770	1205
390	774	1207
391	776	1204
392	778	1201
393	779	1198
394	780	1195
395	782	1192
396	783	1189
397	785	1187
398	786	1184
399	788	1182
400	790	1180
401	791	1177
402	793	1175
403	794	1172
404	796	1169
405	797	1166
406	798	1163
407	802	1165
408	804	1162
409	805	1159
410	807	1156
411	808	1153
412	809	1150
413	810	1147
414	812	1144
415	813	1141
416	815	1140
417	817	1137
418	818	1134
419	819	1131
420	820	1128
421	822	1126
422	823	1123
423	824	1120
424	825	1117
425	827	1114
426	829	1113
427	831	1110
428	832	1108
429	834	1106
430	836	1104
431	838	1102
432	839	1099
433	840	1096
434	841	1093
435	843	1090
436	844	1088
437	846	1086
438	848	1083
439	849	1081
440	851	1079
441	852	1076
442	853	1073
443	855	1070
444	856	1068
445	857	1065
446	859	1063
